Title,Authors,Publisher,PublishedDate,ISBN,PageCount,Categories,AverageRating,RatingsCount,Language,Language_en,Language_es,TitleWordCount
The Rural Diaries,Hilarie Burton,HarperCollins,2020-05-05,9780062862723.0,277.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,3
Sisters: A Graphic Novel,Raina Telgemeier,Scholastic Inc.,2014-08-26,9780545540667.0,211.0,Juvenile Nonfiction,4.0,47.0,en,1.0,0.0,4
The Code Breaker,Walter Isaacson,Simon and Schuster,2021-03-09,9781982115876.0,560.0,Biography & Autobiography,4.5,2.0,en,1.0,0.0,3
The Rural Diaries,Hilarie Burton,HarperCollins,2020-05-05,9780062862723.0,277.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,3
The Code Breaker,Walter Isaacson,Simon and Schuster,2021-03-09,9781982115876.0,560.0,Biography & Autobiography,4.5,2.0,en,1.0,0.0,3
Nikola Tesla,Sean Patrick,Oculus Publishers,2013-03-18,9781938895173.0,50.0,Self-Help,3.0,17.0,en,1.0,0.0,2
The Mitford Girls,Mary S. Lovell,Time Warner Books UK,2002-01-01,9780349115054.0,611.0,Aristocracy (Social class),5.0,1.0,en,1.0,0.0,3
The Mitford Girls,Mary S. Lovell,Time Warner Books UK,2002-01-01,9780349115054.0,611.0,Aristocracy (Social class),5.0,1.0,en,1.0,0.0,3
The Bradbury Chronicles,Sam Weller,Harper Collins,2013-09-17,9780062245069.0,438.0,Biography & Autobiography,3.0,1.0,en,1.0,0.0,3
Killing Reagan,"Bill O'Reilly, Martin Dugard",Macmillan,2015-09-22,9781627792417.0,320.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,2
Jonas Salk,Charlotte DeCroes Jacobs,Oxford University Press,2015-04-21,9780199334438.0,588.0,Medical,4.0,1.0,en,1.0,0.0,2
The Man Who Knew,Sebastian Mallaby,Bloomsbury Publishing,2016-10-20,9781408855799.0,833.0,Biography & Autobiography,3.0,2.0,en,1.0,0.0,4
Complete Maus,Art Spiegelman,Penguin Books Limited,2003-01-01,9780141014081.0,296.0,Children of Holocaust survivors,4.0,1.0,en,1.0,0.0,2
Biology Is Technology,Robert H. Carlson,Harvard University Press,2011-04-15,9780674053625.0,290.0,Science,2.0,1.0,en,1.0,0.0,3
Race After Technology,Ruha Benjamin,John Wiley & Sons,2019-07-09,9781509526437.0,172.0,Social Science,5.0,1.0,en,1.0,0.0,3
The Nature of Technology,W. Brian Arthur,Simon and Schuster,2009-08-11,9781439165782.0,258.0,Science,4.0,3.0,en,1.0,0.0,4
Communication Technology,Everett M. Rogers,Simon and Schuster,1986-06-11,9780029271209.0,292.0,Business & Economics,4.0,1.0,en,1.0,0.0,2
Introduction to Information Technology,"I. T. L. Education Solutions Limited, Itl",Pearson Education India,,9788177581188.0,672.0,Business & Economics,4.5,10.0,en,1.0,0.0,4
The Information,James Gleick,Vintage,2011-03-01,9780307379573.0,398.0,Science,4.5,4.0,en,1.0,0.0,2
The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,W. W. Norton & Company,2011-06-06,9780393079364.0,293.0,Science,4.0,3.0,en,1.0,0.0,10
Field Guide to Appropriate Technology,"Barrett Hazeltine, Christopher Bull",Elsevier,2003-04-09,9780080469805.0,889.0,Business & Economics,5.0,1.0,en,1.0,0.0,5
Philanthropy and the Future of Science and Technology,Evan S. Michelson,Routledge,2020-06-14,9780429814105.0,206.0,Business & Economics,5.0,1.0,en,1.0,0.0,8
Thinking Through Technology,Carl Mitcham,University of Chicago Press,1994-10-15,9780226531984.0,410.0,Philosophy,4.0,3.0,en,1.0,0.0,3
Sensor Technology Handbook,Jon S. Wilson,Newnes,2005-01-01,9780750677295.0,706.0,Business & Economics,1.0,1.0,en,1.0,0.0,3
Technology Enhanced Learning: Best Practices,"Lytras, Miltiadis D., Gasevic, Dragan, Ord¢¤ez de Pablos, Patricia, Huang, Weihong",IGI Global,2008-04-30,9781599046020.0,404.0,Technology & Engineering,3.0,2.0,en,1.0,0.0,5
The Radium Girls,Kate Moore,"Sourcebooks, Inc.",2017-04-18,9781492649366.0,585.0,History,3.5,2.0,en,1.0,0.0,3
Emerging Technologies in Computing,"Mahdi H. Miraz, Peter Excell, Andrew Ware, Safeeullah Soomro, Maaruf Ali",Springer,2018-07-20,9783319954509.0,318.0,Computers,5.0,1.0,en,1.0,0.0,4
Advanced Industrial Control Technology,Peng Zhang,William Andrew,2010-08-26,9781437778083.0,866.0,Science,5.0,1.0,en,1.0,0.0,4
Drawdown,Paul Hawken,Penguin,2017-04-18,9781524704650.0,258.0,Science,5.0,2.0,en,1.0,0.0,1
The New Jim Crow,Michelle Alexander,The New Press,2020-01-07,9781620971949.0,434.0,Law,5.0,1.0,en,1.0,0.0,4
"The Economics of Data, Analytics, and Digital Transformation","Bill Schmarzo, Dr. Kirk Borne",Packt Publishing Ltd,2020-11-30,9781800569133.0,261.0,Computers,5.0,1.0,en,1.0,0.0,8
"Technology, Learning, and Innovation","Linsu Kim, Richard R. Nelson",Cambridge University Press,2000-07-24,9780521779876.0,396.0,Business & Economics,4.0,3.0,en,1.0,0.0,4
The Technological Singularity,Murray Shanahan,MIT Press,2015-08-07,9780262527804.0,269.0,Computers,4.0,1.0,en,1.0,0.0,3
Hacking For Dummies,Kevin Beaver,John Wiley & Sons,2018-06-27,9781119485544.0,420.0,Computers,5.0,7.0,en,1.0,0.0,3
Who Was Jesus?,"Ellen Morgan, Who HQ",Penguin,2015-02-05,9780448483207.0,114.0,Juvenile Nonfiction,5.0,1.0,en,1.0,0.0,3
The Soul of A New Machine,Tracy Kidder,Back Bay Books,2011-08-23,9780316204552.0,222.0,Computers,3.0,1.0,en,1.0,0.0,6
Agent and Multi-Agent Systems: Technologies and Applications,"Piotr Jedrzejowicz, Ngoc Thanh Nguyen, Robert J. Howlett, Lakhmi C Jain",Springer,2010-06-20,9783642134807.0,460.0,Computers,5.0,1.0,en,1.0,0.0,7
"The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies","Erik Brynjolfsson, Andrew McAfee",W. W. Norton & Company,2014-01-20,9780393239355.0,320.0,Business & Economics,4.0,2.0,en,1.0,0.0,14
Midnight in Chernobyl,Adam Higginbotham,Simon & Schuster,2020-02-04,9781501134630.0,560.0,History,5.0,1.0,en,1.0,0.0,3
Big Data,"Viktor Mayer-Schönberger, Kenneth Cukier",Houghton Mifflin Harcourt,2013-01-01,9780544002692.0,257.0,Business & Economics,3.0,4.0,en,1.0,0.0,2
Tech-Powered Sales,"Justin Michael, Tony Hughes",HarperCollins Leadership,2021-06-29,9781400226535.0,273.0,Business & Economics,5.0,1.0,en,1.0,0.0,2
The Singularity Is Near,Ray Kurzweil,Penguin,2005-09-22,9781101218884.0,992.0,Social Science,4.5,10.0,en,1.0,0.0,4
Technology and Adolescent Mental Health,"Megan A. Moreno, Ana Radovic",Springer,2018-03-01,9783319696386.0,299.0,Medical,4.0,1.0,en,1.0,0.0,5
The Manager's Path,Camille Fournier,"""O'Reilly Media, Inc.""",2017-03-13,9781491973844.0,187.0,Business & Economics,4.5,2.0,en,1.0,0.0,3
No Rules Rules,"Reed Hastings, Erin Meyer",Penguin,2020-09-08,9781984877871.0,371.0,Business & Economics,3.0,1.0,en,1.0,0.0,3
Pro Git,"Scott Chacon, Ben Straub",Apress,2014-11-18,9781484200766.0,441.0,Computers,4.0,3.0,en,1.0,0.0,2
Unrestricted Warfare,"Liang Qiao, Xiangsui Wang","NewsMax Media, Inc.",2002-01-01,9780971680722.0,228.0,Asymmetric warfare,3.5,2.0,en,1.0,0.0,2
The New Map,Daniel Yergin,Penguin,2020-09-15,9780698191051.0,544.0,Business & Economics,5.0,1.0,en,1.0,0.0,3
Thunderstruck,Erik Larson,Crown,2006-10-24,9780307351920.0,481.0,History,4.0,7.0,en,1.0,0.0,1
Life 3.0,Max Tegmark,Vintage,2017-08-29,9781101946602.0,385.0,Technology & Engineering,3.0,2.0,en,1.0,0.0,2
Philosophy of Technology,Frederick Ferré,University of Georgia Press,1995-01-01,9780820317618.0,169.0,Philosophy,2.0,1.0,en,1.0,0.0,3
A Hands-On Introduction to Data Science,Chirag Shah,Cambridge University Press,2020-04-02,9781108472449.0,459.0,Business & Economics,1.0,1.0,en,1.0,0.0,6
"Beverages: Technology, Chemistry and Microbiology","A. Varnam, J.M. Sutherland",Springer Science & Business Media,1994-04-30,9780834213104.0,484.0,Cooking,4.0,1.0,en,1.0,0.0,5
Managing Change: Text and Cases,"Todd Jick, Maury Peiperl",McGraw-Hill/Irwin,2002-11-27,9780256264586.0,544.0,Business & Economics,1.0,1.0,en,1.0,0.0,5
Guide to HIPAA Security and the Law,Stephen S. Wu,American Bar Association,2007-01-01,9781590317488.0,348.0,Law,4.0,1.0,en,1.0,0.0,7
Behavioral Healthcare and Technology,"Lisa Marsch, Sarah Lord, Jesse Dallery",Oxford University Press,2014-11-10,9780199314034.0,369.0,Medical,3.0,1.0,en,1.0,0.0,4
Blockchain Technology,"E. Golden Julie, J. Jesu Vedha Nayahi, Noor Zaman Jhanjhi",CRC Press,2020-11-09,9781000216752.0,255.0,Computers,5.0,1.0,en,1.0,0.0,2
Immediate Fiction,Jerry Cleaver,St. Martin's Press,2004-12-03,9781429954006.0,306.0,Language Arts & Disciplines,3.0,1.0,en,1.0,0.0,2
A Closed and Common Orbit,Becky Chambers,HarperCollins,2016-10-18,9780062569424.0,384.0,Fiction,4.0,1.0,en,1.0,0.0,5
I Have No Mouth & I Must Scream,Harlan Ellison,Open Road Media,2014-04-29,9781497609617.0,167.0,Fiction,3.0,1.0,en,1.0,0.0,8
Perdido Street Station,China Miéville,Del Rey,2003-07-29,9780345464521.0,687.0,Fiction,4.0,27.0,en,1.0,0.0,3
The Lonely Soldier,Helen Benedict,Beacon Press,2010-04-01,9780807061497.0,294.0,History,5.0,1.0,en,1.0,0.0,3
Fan Fiction,Brent Spiner,St. Martin's Press,2021-10-12,9781250274373.0,199.0,Fiction,2.0,1.0,en,1.0,0.0,2
The Thirteenth Tale,Diane Setterfield,Simon and Schuster,2007-10-09,9780743298032.0,448.0,Fiction,4.5,5.0,en,1.0,0.0,3
Ender's Game,Orson Scott Card,Tor Books,2017-10-17,9780765394866.0,448.0,Fiction,5.0,3.0,en,1.0,0.0,2
Normal People,Sally Rooney,Crown,2019-04-16,9781984822192.0,305.0,Fiction,3.0,2.0,en,1.0,0.0,2
The Pillars of the Earth,Ken Follett,Penguin,2010-06-29,9781101442197.0,1009.0,Fiction,5.0,1.0,en,1.0,0.0,5
Best Books for Young Adults,Holly Koelling,American Library Association,2007-08-13,9780838935699.0,575.0,Language Arts & Disciplines,3.0,2.0,en,1.0,0.0,5
At Home in Mitford,Jan Karon,Penguin,1996-02-01,9780140254488.0,468.0,Fiction,4.0,3.0,en,1.0,0.0,4
Set the Stars Alight,Amanda Dykes,Baker Books,2020-06-30,9781493425129.0,415.0,Fiction,4.5,2.0,en,1.0,0.0,4
In Every Moment We Are Still Alive,Tom Malmquist,Melville House,2018-01-30,9781612197111.0,241.0,Fiction,2.0,1.0,en,1.0,0.0,7
Life's Too Short,Abby Jimenez,Forever,2021-04-06,9781538715680.0,384.0,Fiction,5.0,1.0,en,1.0,0.0,3
It Starts with Us,Colleen Hoover,Simon and Schuster,2022-10-18,9781668001226.0,336.0,Fiction,5.0,1.0,en,1.0,0.0,4
The Unteachables,Gordon Korman,HarperCollins,2019-01-08,9780062563910.0,205.0,Juvenile Fiction,5.0,2.0,en,1.0,0.0,2
The City We Became,N. K. Jemisin,Orbit,2020-03-24,9780316509855.0,386.0,Fiction,5.0,2.0,en,1.0,0.0,4
The Unteachables,Gordon Korman,HarperCollins,2019-01-08,9780062563910.0,205.0,Juvenile Fiction,5.0,2.0,en,1.0,0.0,2
Apples Never Fall,Liane Moriarty,Henry Holt and Company,2021-09-14,9781250220264.0,432.0,Fiction,3.0,2.0,en,1.0,0.0,3
Wine and War,"Donald Kladstrup, Petie Kladstrup",Crown,2002-06-18,9780767913256.0,306.0,History,4.0,3.0,en,1.0,0.0,3
Memoirs of a Geisha,Arthur Golden,Vintage,1999-11-09,9780375406782.0,450.0,Fiction,4.5,30.0,en,1.0,0.0,4
The Weird,"Jeff VanderMeer, Ann VanderMeer",Tor Books,2012-01-24,9781466803190.0,2482.0,Fiction,5.0,1.0,en,1.0,0.0,2
The Twelve Dates of Christmas,Jenny Bayliss,Penguin,2020-10-13,9780593085370.0,385.0,Fiction,4.0,1.0,en,1.0,0.0,5
Yellow Wife,Sadeqa Johnson,Simon and Schuster,2021-01-12,9781982149123.0,288.0,Fiction,5.0,1.0,en,1.0,0.0,2
The Dating Dare,Jayci Lee,St. Martin's Griffin,2021-08-03,9781250621139.0,250.0,Fiction,4.0,3.0,en,1.0,0.0,3
The House With Chicken Legs,Sophie Anderson,Scholastic Inc.,2018-09-25,9781338209983.0,206.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,5
The Castle in the Forest,Norman Mailer,Random House,2007-01-23,9781588365903.0,498.0,Fiction,3.5,2.0,en,1.0,0.0,5
The Castle in the Forest,Norman Mailer,Random House,2007-01-23,9781588365903.0,498.0,Fiction,3.5,2.0,en,1.0,0.0,5
The Summer Getaway,Susan Mallery,HQN Books,2022-03-15,9780369703668.0,447.0,Fiction,5.0,1.0,en,1.0,0.0,3
Upside Down in the Middle of Nowhere,Julie T. Lamana,Chronicle Books,2014-04-08,9781452130309.0,327.0,Juvenile Fiction,2.0,4.0,en,1.0,0.0,7
The Tenderness of Wolves,Stef Penney,Simon and Schuster,2008-03-04,9781416571308.0,400.0,Fiction,3.0,2.0,en,1.0,0.0,4
Hood,Stephen Lawhead,Thomas Nelson Inc,2008-04-08,9781595543295.0,513.0,Fiction,4.0,9.0,en,1.0,0.0,1
Oath of the Vayuputras,Amish Tripathi,Jo Fletcher Books,2016-07-05,9781681445038.0,565.0,Fiction,3.0,1.0,en,1.0,0.0,4
Daughter of the Blood,Anne Bishop,Penguin,1998-03-01,9781101212400.0,417.0,Fiction,4.5,18.0,en,1.0,0.0,4
Clarity & Connection,Yung Pueblo,Andrews McMeel Publishing,2021-04-27,9781524869861.0,244.0,Poetry,3.0,2.0,en,1.0,0.0,3
She's Come Undone,Wally Lamb,Simon and Schuster,2012-12-11,9781471105340.0,517.0,Fiction,5.0,1.0,en,1.0,0.0,3
The Way of Kings,Brandon Sanderson,Macmillan,2014-03-04,9780765376671.0,1013.0,Fiction,4.5,4.0,en,1.0,0.0,4
The Other Boleyn Girl (Movie Tie-In),Philippa Gregory,Simon and Schuster,2008-01-22,9781416560609.0,678.0,Fiction,4.0,5.0,en,1.0,0.0,6
Attachments,Rainbow Rowell,Penguin,2011-04-14,9781101476345.0,336.0,Fiction,5.0,1.0,en,1.0,0.0,1
"Medusa ""Through the Eyes of the Gorgon""",Skevi Philippou,Lulu.com,2018-01-03,9781387486670.0,241.0,Fiction,5.0,4.0,en,1.0,0.0,7
The Vegetarian,Han Kang,Hogarth,2016-02-02,9780553448191.0,209.0,Fiction,4.0,2.0,en,1.0,0.0,2
The Investigator,John Sandford,Canelo,2023-01-19,9781804362464.0,475.0,Fiction,4.0,1.0,en,1.0,0.0,2
Wish You Were Here,Jodi Picoult,Ballantine Books,2021-11-30,9781984818423.0,388.0,Fiction,3.0,1.0,en,1.0,0.0,4
Barney's Version,Mordecai Richler,Vintage,2011-12-21,9780307813473.0,517.0,Fiction,3.0,2.0,en,1.0,0.0,2
The Butterfly House,Katrine Engberg,Simon and Schuster,2021-01-05,9781982127626.0,352.0,Fiction,4.5,2.0,en,1.0,0.0,3
Gone with the Wind,Margaret Mitchell,Simon and Schuster,2008-05-20,9781416548942.0,1476.0,Fiction,4.5,9.0,en,1.0,0.0,4
Encyclopedia of the Novel,Paul Schellinger,Routledge,2014-04-08,9781135918262.0,838.0,Literary Criticism,5.0,1.0,en,1.0,0.0,4
Animals,Keith Ridgway,HarperCollins UK,2007-01-01,9780007213320.0,9.0,Fiction,4.0,1.0,en,1.0,0.0,1
Charlotte's Web (full color),E. B. White,Harper Collins,2001-10-02,9780064410939.0,196.0,Juvenile Fiction,4.0,3.0,en,1.0,0.0,4
Dual-process Theories in Social Psychology,"Shelly Chaiken, Yaacov Trope",Guilford Press,1999-02-19,9781572304215.0,676.0,Psychology,2.0,3.0,en,1.0,0.0,5
Harry Potter and the Sorcerer's Stone,J. K. Rowling,Arthur A. Levine Books,2008-01-01,9780545069670.0,309.0,Juvenile Fiction,5.0,2.0,en,1.0,0.0,6
Different Engines,"M. Brake, N. Hook",Palgrave Macmillan,2007-11-04,9780230553897.0,274.0,Fiction,5.0,1.0,en,1.0,0.0,2
Exploring Children's Literature,"Nikki Gamble, Sally Yates",SAGE,2002-11-04,9780761940463.0,204.0,Education,5.0,1.0,en,1.0,0.0,3
Podkayne of Mars,Robert A. Heinlein,Penguin,2010-01-05,9781101171363.0,160.0,Fiction,3.0,2.0,en,1.0,0.0,3
Flesh And Blood,Patricia Cornwell,Harper Collins,2014-11-11,9781443436724.0,396.0,Fiction,3.0,1.0,en,1.0,0.0,3
Journey to the Center of the Earth,Jules Verne,Bantam,2006-04-25,9780553902549.0,242.0,Fiction,3.5,3.0,en,1.0,0.0,7
Selected Essays,Virginia Woolf,OUP Oxford,2008-02-14,9780191549816.0,285.0,Literary Collections,3.5,2.0,en,1.0,0.0,2
The Science of Science,"Dashun Wang, Albert-László Barabási",Cambridge University Press,2021-03-25,9781108492669.0,315.0,Computers,4.0,1.0,en,1.0,0.0,4
"Science, Policy, and the Value-Free Ideal",Heather E. Douglas,University of Pittsburgh Pre,2009-07-15,9780822973577.0,227.0,Philosophy,5.0,1.0,en,1.0,0.0,6
Science in Action,Bruno Latour,Harvard University Press,1987-01-01,9780674792913.0,292.0,History,4.5,2.0,en,1.0,0.0,3
Biomaterials Science,"Buddy D. Ratner, Allan S. Hoffman, Frederick J. Schoen, Jack E. Lemons",Elsevier,2004-08-18,9780080470368.0,879.0,Technology & Engineering,4.0,1.0,en,1.0,0.0,2
The Sociology of Science,Robert K. Merton,University of Chicago Press,1973-01-01,9780226520926.0,639.0,Social Science,5.0,1.0,en,1.0,0.0,4
Bad Science,Ben Goldacre,"Farrar, Straus and Giroux",2010-10-12,9781429967099.0,337.0,Science,5.0,5.0,en,1.0,0.0,2
Modern Physical Organic Chemistry,"Eric V. Anslyn, Dennis A. Dougherty",University Science Books,2006-01-01,9781891389313.0,1148.0,Science,4.0,9.0,en,1.0,0.0,4
R for Data Science,"Hadley Wickham, Garrett Grolemund","""O'Reilly Media, Inc.""",2016-12-12,9781491910368.0,521.0,Computers,5.0,1.0,en,1.0,0.0,4
The Demon-Haunted World,Carl Sagan,Ballantine Books,2011-07-06,9780307801043.0,474.0,Science,5.0,1.0,en,1.0,0.0,3
Drawdown,Paul Hawken,Penguin,2017-04-18,9781524704650.0,258.0,Science,5.0,2.0,en,1.0,0.0,1
The Love Hypothesis,Ali Hazelwood,Penguin,2021-09-14,9780593336823.0,401.0,Fiction,4.5,2.0,en,1.0,0.0,3
Learning Science in Informal Environments,"National Research Council, Division of Behavioral and Social Sciences and Education, Center for Education, Board on Science Education, Committee on Learning Science in Informal Environments",National Academies Press,2009-05-27,9780309141130.0,348.0,Education,5.0,1.0,en,1.0,0.0,5
Science Encyclopedia,National Geographic Kids,National Geographic Books,2016-01-01,9781426325427.0,308.0,Science,4.0,1.0,en,1.0,0.0,2
The Selfish Gene,Richard Dawkins,"Oxford University Press, USA",1989-01-01,9780192860927.0,372.0,Medical,4.5,76.0,en,1.0,0.0,3
Between Two Kingdoms,Suleika Jaouad,Random House,2021-02-09,9780399588594.0,368.0,Biography & Autobiography,1.0,1.0,en,1.0,0.0,3
The Magic School Bus and the Climate Challenge,Joanna Cole,Scholastic Inc.,2010-01-01,9780590108263.0,50.0,Juvenile Nonfiction,5.0,1.0,en,1.0,0.0,8
Cambridge Primary Science Stage 3 Learner's Book,"Jon Board, Alan Cross",Cambridge University Press,2014-05-22,9781107611412.0,81.0,Juvenile Nonfiction,3.0,2.0,en,1.0,0.0,7
Global Science,John W. Christensen,Kendall Hunt,2000-01-01,9780787290108.0,988.0,Earth sciences,5.0,1.0,en,1.0,0.0,2
Entangled Life,Merlin Sheldrake,Random House,2020-05-12,9780525510338.0,370.0,Science,5.0,1.0,en,1.0,0.0,2
Astrophysics for Young People in a Hurry,Neil deGrasse Tyson,W. W. Norton & Company,2019-02-05,9780393356519.0,176.0,Juvenile Nonfiction,5.0,1.0,en,1.0,0.0,7
Benchmarks for Science Literacy,American Association for the Advancement of Science,Oxford University Press,1994-01-06,9780199726516.0,443.0,Education,4.0,1.0,en,1.0,0.0,4
What If?,Randall Munroe,Houghton Mifflin Harcourt,2014-01-01,9780544272996.0,321.0,Fiction,4.0,8.0,en,1.0,0.0,2
Stiff: The Curious Lives of Human Cadavers,Mary Roach,W. W. Norton & Company,2004-05-17,9780393069198.0,305.0,Science,4.0,52.0,en,1.0,0.0,7
The Gene,Siddhartha Mukherjee,Simon and Schuster,2016-05-17,9781476733531.0,624.0,Medical,4.5,7.0,en,1.0,0.0,2
Packing for Mars: The Curious Science of Life in the Void,Mary Roach,W. W. Norton & Company,2011-04-04,9780393079104.0,335.0,Science,1.5,2.0,en,1.0,0.0,11
The Body,Bill Bryson,Anchor,2019-10-15,9780385539319.0,490.0,Science,4.5,2.0,en,1.0,0.0,2
More Picture-perfect Science Lessons,"Karen Rohrich Ansberry, Emily Rachel Morgan",NSTA Press,2007-01-01,9781933531120.0,255.0,Education,4.0,3.0,en,1.0,0.0,4
The Ancestor's Tale,Richard Dawkins,Houghton Mifflin Harcourt,2004-01-01,9780618619160.0,696.0,Science,3.5,34.0,en,1.0,0.0,3
Pale Blue Dot,"Carl Sagan, Ann Druyan",Ballantine Books,2011-07-06,9780307801012.0,386.0,Science,5.0,1.0,en,1.0,0.0,3
The Disappearing Spoon,Sam Kean,"Little, Brown",2010-07-12,9780316089081.0,333.0,Science,4.0,13.0,en,1.0,0.0,3
Physics of the Impossible,Michio Kaku,Anchor,2008-03-11,9780385525442.0,354.0,Science,4.5,25.0,en,1.0,0.0,4
The Greatest Show on Earth,Richard Dawkins,Simon and Schuster,2009-09-22,9781416597780.0,477.0,Science,4.5,18.0,en,1.0,0.0,5
Immune,Philipp Dettmer,Hachette UK,2021-11-02,9781529360691.0,368.0,Medical,5.0,3.0,en,1.0,0.0,1
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,W. W. Norton & Company,2010-09-21,9780393338102.0,447.0,Science,5.0,8.0,en,1.0,0.0,13
Biology,"Neil A. Campbell, Jane B. Reece",Benjamin-Cummings Publishing Company,2005-01-01,9780805371710.0,1398.0,Science,5.0,1.0,en,1.0,0.0,1
Making Social Science Matter,Bent Flyvbjerg,Cambridge University Press,2001-01-15,9780521775687.0,218.0,Social Science,4.5,3.0,en,1.0,0.0,4
The Undiscovered Mind,John Horgan,Simon and Schuster,2000-11-14,9780684865782.0,340.0,Medical,5.0,2.0,en,1.0,0.0,3
"African Americans in Science, Math, and Invention","Ray Spangenburg, Diane Moser, Douglas Long",Infobase Publishing,2014-05-14,9781438107745.0,273.0,Biography & Autobiography,5.0,1.0,en,1.0,0.0,7
Short-cut Math,Gerard W. Kelly,Courier Corporation,1984-04-01,9780486246116.0,134.0,Mathematics,3.5,3.0,en,1.0,0.0,2
Mathematics and the Imagination,"Edward Kasner, James Roy Newman",Courier Corporation,2001-01-01,9780486417035.0,402.0,Mathematics,5.0,1.0,en,1.0,0.0,4
Different Engines,"M. Brake, N. Hook",Palgrave Macmillan,2007-11-04,9780230553897.0,274.0,Fiction,5.0,1.0,en,1.0,0.0,2
Ten Little Ladybugs,Melanie Gerth,Intervisual/Piggy Toes,2000-01-01,9781581170917.0,20.0,Juvenile Fiction,5.0,1.0,en,1.0,0.0,3
Biology Is Technology,Robert H. Carlson,Harvard University Press,2011-04-15,9780674053625.0,290.0,Science,2.0,1.0,en,1.0,0.0,3
Race After Technology,Ruha Benjamin,John Wiley & Sons,2019-07-09,9781509526437.0,172.0,Social Science,5.0,1.0,en,1.0,0.0,3
The Nature of Technology,W. Brian Arthur,Simon and Schuster,2009-08-11,9781439165782.0,258.0,Science,4.0,3.0,en,1.0,0.0,4
Communication Technology,Everett M. Rogers,Simon and Schuster,1986-06-11,9780029271209.0,292.0,Business & Economics,4.0,1.0,en,1.0,0.0,2
Introduction to Information Technology,"I. T. L. Education Solutions Limited, Itl",Pearson Education India,,9788177581188.0,672.0,Business & Economics,4.5,10.0,en,1.0,0.0,4
The Information,James Gleick,Vintage,2011-03-01,9780307379573.0,398.0,Science,4.5,4.0,en,1.0,0.0,2
The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,W. W. Norton & Company,2011-06-06,9780393079364.0,293.0,Science,4.0,3.0,en,1.0,0.0,10
Field Guide to Appropriate Technology,"Barrett Hazeltine, Christopher Bull",Elsevier,2003-04-09,9780080469805.0,889.0,Business & Economics,5.0,1.0,en,1.0,0.0,5
Philanthropy and the Future of Science and Technology,Evan S. Michelson,Routledge,2020-06-14,9780429814105.0,206.0,Business & Economics,5.0,1.0,en,1.0,0.0,8
Thinking Through Technology,Carl Mitcham,University of Chicago Press,1994-10-15,9780226531984.0,410.0,Philosophy,4.0,3.0,en,1.0,0.0,3
Sensor Technology Handbook,Jon S. Wilson,Newnes,2005-01-01,9780750677295.0,706.0,Business & Economics,1.0,1.0,en,1.0,0.0,3
Technology Enhanced Learning: Best Practices,"Lytras, Miltiadis D., Gasevic, Dragan, Ord¢¤ez de Pablos, Patricia, Huang, Weihong",IGI Global,2008-04-30,9781599046020.0,404.0,Technology & Engineering,3.0,2.0,en,1.0,0.0,5
The Radium Girls,Kate Moore,"Sourcebooks, Inc.",2017-04-18,9781492649366.0,585.0,History,3.5,2.0,en,1.0,0.0,3
Emerging Technologies in Computing,"Mahdi H. Miraz, Peter Excell, Andrew Ware, Safeeullah Soomro, Maaruf Ali",Springer,2018-07-20,9783319954509.0,318.0,Computers,5.0,1.0,en,1.0,0.0,4
Advanced Industrial Control Technology,Peng Zhang,William Andrew,2010-08-26,9781437778083.0,866.0,Science,5.0,1.0,en,1.0,0.0,4
Drawdown,Paul Hawken,Penguin,2017-04-18,9781524704650.0,258.0,Science,5.0,2.0,en,1.0,0.0,1
The New Jim Crow,Michelle Alexander,The New Press,2020-01-07,9781620971949.0,434.0,Law,5.0,1.0,en,1.0,0.0,4
"The Economics of Data, Analytics, and Digital Transformation","Bill Schmarzo, Dr. Kirk Borne",Packt Publishing Ltd,2020-11-30,9781800569133.0,261.0,Computers,5.0,1.0,en,1.0,0.0,8
"Technology, Learning, and Innovation","Linsu Kim, Richard R. Nelson",Cambridge University Press,2000-07-24,9780521779876.0,396.0,Business & Economics,4.0,3.0,en,1.0,0.0,4
Hacking For Dummies,Kevin Beaver,John Wiley & Sons,2018-06-27,9781119485544.0,420.0,Computers,5.0,7.0,en,1.0,0.0,3
Who Was Jesus?,"Ellen Morgan, Who HQ",Penguin,2015-02-05,9780448483207.0,114.0,Juvenile Nonfiction,5.0,1.0,en,1.0,0.0,3
The Soul of A New Machine,Tracy Kidder,Back Bay Books,2011-08-23,9780316204552.0,222.0,Computers,3.0,1.0,en,1.0,0.0,6
Technology: A World History,Daniel R. Headrick Professor of Social Sciences and History Roosevelt University,"Oxford University Press, USA",2009-02-25,9780199713660.0,197.0,Technology & Engineering,1.0,1.0,en,1.0,0.0,4
Agent and Multi-Agent Systems: Technologies and Applications,"Piotr Jedrzejowicz, Ngoc Thanh Nguyen, Robert J. Howlett, Lakhmi C Jain",Springer,2010-06-20,9783642134807.0,460.0,Computers,5.0,1.0,en,1.0,0.0,7
